"id";"music";"countplay";"followers";"streams";"popularity";"dance";"energy";"loudness";"speechiness";"acousticness";"liveness";"time";"durationms";"valence"
"1";"Beggin'";8;3377762;48633449;100;0.714;0.8;-4.808;0.0504;0.127;0.359;134.002;211560;0.589
"2";"STAY (with Justin Bieber)";3;2230022;47248719;99;0.591;0.764;-5.484;0.0483;0.0383;0.103;169.928;141806;0.478
"3";"good 4 u";11;6266514;40162559;99;0.563;0.664;-5.044;0.154;0.335;0.0849;166.928;178147;0.688
"4";"Bad Habits";5;83293380;37799456;98;0.808;0.897;-3.712;0.0348;0.0469;0.364;126.026;231041;0.591
"5";"INDUSTRY BABY (feat. Jack Harlow)";1;5473565;33948454;96;0.736;0.704;-7.409;0.0615;0.0203;0.0501;149.995;212000;0.894
"6";"MONTERO (Call Me By Your Name)";18;5473565;30071134;97;0.61;0.508;-6.682;0.152;0.297;0.384;178.818;137876;0.758
"7";"Kiss Me More (feat. SZA)";16;8640063;29356736;94;0.762;0.701;-3.541;0.0286;0.235;0.123;110.968;208867;0.742
"8";"Todo De Ti";10;6080597;26951613;95;0.78;0.718;-3.605;0.0506;0.31;0.0932;127.949;199604;0.342
"9";"Yonaguni";8;36142273;25030128;96;0.644;0.648;-4.601;0.118;0.276;0.135;179.951;206710;0.44
"10";"I WANNA BE YOUR SLAVE";10;3377762;24551591;95;0.75;0.608;-4.008;0.0387;0.00165;0.178;132.507;173347;0.958
"11";"Levitating (feat. DaBaby)";43;27142474;23518010;89;0.702;0.825;-3.787;0.0601;0.00883;0.0674;102.977;203064;0.915
"12";"Qué Más Pues?";9;29051363;22405111;95;0.891;0.819;-3.964;0.106;0.0261;0.173;101.968;217773;0.768
"13";"Permission to Dance";3;37106176;22062812;95;0.702;0.741;-5.33;0.0427;0.00544;0.337;124.925;187585;0.646
"14";"Peaches (feat. Daniel Caesar & Giveon)";19;48504126;20294457;94;0.677;0.696;-6.181;0.119;0.321;0.42;90.03;198082;0.464
"15";"Butter";10;37106176;19985713;95;0.759;0.459;-5.187;0.0948;0.00323;0.0906;109.997;164442;0.695
"16";"traitor";10;6266514;19480679;94;0.38;0.339;-7.885;0.0338;0.691;0.12;100.607;229227;0.0849
"17";"deja vu";17;6266514;18571755;93;0.442;0.612;-7.222;0.112;0.584;0.37;180.917;215507;0.178
"18";"Save Your Tears (with Ariana Grande) (Remix)";14;35305637;18053141;94;0.65;0.825;-4.645;0.0325;0.0215;0.0936;118.091;191014;0.593
"19";"AM Remix";5;2123734;17617965;93;0.743;0.655;-5.015;0.159;0.114;0.0764;172.031;261335;0.785
"20";"Need To Know";7;8640063;16908917;90;0.664;0.609;-6.509;0.0707;0.304;0.0926;130.041;210560;0.194
"21";"Volando - Remix";3;151486;16606925;91;0.659;0.688;-4.649;0.0673;0.207;0.113;153.979;273474;0.632
"22";"Ain't Shit";5;8640063;16126897;90;0.855;0.488;-4.601;0.208;0.506;0.347;124.097;174253;0.619
"23";"drivers license";29;6266514;15684978;92;0.561;0.431;-8.81;0.0578;0.768;0.106;143.875;242013;0.137
"24";"Heat Waves";31;1890510;15089184;85;0.761;0.525;-6.9;0.0944;0.44;0.0921;80.87;238805;0.531
"25";"Blinding Lights";83;35305637;15011809;92;0.514;0.73;-5.934;0.0598;0.00146;0.0897;171.005;200040;0.334
"26";"happier";10;6266514;14849078;92;0.395;0.443;-9.72;0.133;0.765;0.0839;168.924;175933;0.338
"27";"Pepas";3;10502148;14809458;92;0.762;0.766;-3.955;0.0343;0.00776;0.128;130.001;287120;0.442
"28";"Motley Crew";3;33651775;14329162;90;0.797;0.631;-3.818;0.0786;0.0904;0.0998;129.915;184213;0.288
"29";"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit";23;83689;14273637;92;0.824;0.862;-3.424;0.126;0.0076;0.303;122.98;169153;0.801
"30";"Astronaut In The Ocean";28;365975;14174752;89;0.778;0.695;-6.865;0.0913;0.175;0.15;149.996;132780;0.472
"31";"Leave The Door Open";21;32574754;13963568;92;0.586;0.616;-7.964;0.0324;0.182;0.0927;148.088;242096;0.719
"32";"Don't Go Yet";1;22683756;13205250;88;0.666;0.796;-6.967;0.103;0.0492;0.0442;110.108;164842;0.61
"33";"favorite crime";10;6266514;12818935;91;0.369;0.272;-10.497;0.0364;0.866;0.147;172.929;152667;0.218
"34";"Pareja Del Año";15;16216789;12572307;91;0.715;0.622;-5.102;0.046;0.163;0.0948;80.015;195053;0.808
"35";"Watermelon Sugar";83;16112621;11996689;90;0.548;0.816;-4.209;0.0465;0.122;0.335;95.39;174000;0.557
"36";"NOT SOBER (feat. Polo G & Stunna Gambino)";1;NA;11869336;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"37";"RAPSTAR";16;4840346;11683383;89;0.789;0.536;-6.862;0.242;0.41;0.129;81.039;165926;0.437
"38";"You Right";5;8640063;11629418;89;0.828;0.621;-6.414;0.0565;0.0164;0.0845;128.986;186173;0.436
"39";"911 - Remix";3;8758283;11553846;89;0.816;0.71;-3.728;0.0398;0.165;0.292;93.02;208631;0.784
